Continent,ISO_code,Country,WHO_Region,pop_year,age,gender,population,Vaccine,vac_year,Percent_covrage,vac_population,deaths_averted_1000FVP,mid,low,high,vac_deaths_averted,suspension_period,covid_deaths,benefit_risk_ratio
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,Hib3,2018,95,3303206.05,3.2 (0.67-5.7),3.2,0.67,5.7,10570.25936,0.5,431.009190764959,12.2622203731199
Africa,ETH,Ethiopia,AFR,2020,14,female,1334518,HPVfem,2018,95,1267792.1,,,,,,0.5,116.815938997967,
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,MCV1,2018,88,3059811.92,13 (7.1-18),13,7.1,18,39777.55496,0.5,149.500761142614,133.034623556381
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,PCV3,2018,94,3268435.46,2.8 (0.8-6),2.8,0.8,6,9151.619288,0.5,426.472251914802,10.7294428264799
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,RotaC,2018,93,3233664.87,0.61 (0.32-0.91),0.61,0.32,0.91,1972.5355707,0.5,297.953898114517,3.31013553301771
Africa,GAB,Gabon,AFR,2020,0,both,66081,HepB3,2018,70,46256.7,,,,,,0.5,6.03567035561027,
Africa,GAB,Gabon,AFR,2020,0,both,66081,Hib3,2018,70,46256.7,,,,,,0.5,6.03567035561027,
Africa,GAB,Gabon,AFR,2020,0,both,66081,MCV1,2018,59,38987.79,,,,,,0.5,1.90492240459942,
Africa,GAB,Gabon,AFR,2020,0,both,66081,YFV,2018,59,38987.79,,,,,,0.5,1.90492240459942,
Africa,GHA,Ghana,AFR,2020,0,both,843756,HepB3,2018,97,818443.32,0.16 (0.02-0.55),0.16,0.02,0.55,130.9509312,0.5,106.792185440623,0.613111018655994
Africa,GHA,Ghana,AFR,2020,0,both,843756,Hib3,2018,97,818443.32,1.2 (0.83-1.4),1.2,0.83,1.4,982.131984,0.5,106.792185440623,4.59833263991996
Africa,GHA,Ghana,AFR,2020,0,both,843756,MCV1,2018,92,776255.52,21 (9.9-28),21,9.9,28,16301.36592,0.5,37.9274262978737,214.902084206461
Africa,GHA,Ghana,AFR,2020,1,both,841542,MCV2,2018,83,698479.86,,,,,,0.5,34.127349472116,
Africa,GHA,Ghana,AFR,2020,0,both,843756,MenA,2018,83,700317.48,0.03 (0-0.12),0.03,0,0.12,21.0095244,0.5,34.2171345948208,0.307002977437802
Africa,GHA,Ghana,AFR,2020,0,both,843756,PCV3,2018,96,810005.76,1.3 (0.71-1.9),1.3,0.71,1.9,1053.007488,0.5,105.691235075255,4.98152702657995
Africa,GHA,Ghana,AFR,2020,0,both,843756,RCV1,2018,92,776255.52,,,,,,0.5,37.9274262978737,
Africa,GHA,Ghana,AFR,2020,0,both,843756,RotaC,2018,94,793130.64,0.48 (0.27-0.78),0.48,0.27,0.78,380.7027072,0.5,73.0800424294004,2.60469681286639
Africa,GHA,Ghana,AFR,2020,0,both,843756,YFV,2018,91,767817.96,3 (0.91-6.7),3,0.91,6.7,2303.45388,0.5,37.5151716642012,30.7002977437802
Africa,GIN,Guinea,AFR,2020,0,both,443398,HepB3,2018,75,332548.5,0.31 (0.04-1.2),0.31,0.04,1.2,103.090035,0.5,43.3916194465377,1.18790259864599
Africa,GIN,Guinea,AFR,2020,0,both,443398,Hib3,2018,75,332548.5,3.3 (1.1-5.4),3.3,1.1,5.4,1097.41005,0.5,43.3916194465377,12.6454147597799
Africa,GIN,Guinea,AFR,2020,0,both,443398,MCV1,2018,75,332548.5,19 (6.1-27),19,6.1,27,6318.4215,0.5,16.2481404631022,194.435219043941
Africa,GIN,Guinea,AFR,2020,0,both,443398,YFV,2018,75,332548.5,15 (4.7-29),15,4.7,29,4988.2275,0.5,16.2481404631022,153.501488718901
Africa,GMB,Gambia,AFR,2020,0,both,86397,HepB3,2018,93,80349.21,0.18 (0.01-0.68),0.18,0.01,0.68,14.4628578,0.5,10.4841319180509,0.689749895987993
Africa,GMB,Gambia,AFR,2020,0,both,86397,Hib3,2018,93,80349.21,2.7 (1.1-4),2.7,1.1,4,216.942867,0.5,10.4841319180509,10.3462484398199
Africa,GMB,Gambia,AFR,2020,0,both,86397,MCV1,2018,91,78621.27,20 (6.6-27),20,6.6,27,1572.4254,0.5,3.84139287456562,204.668651625201
Africa,GMB,Gambia,AFR,2020,1,both,84176,MCV2,2018,71,59764.96,,,,,,0.5,2.92008373170135,
Africa,GMB,Gambia,AFR,2020,0,both,86397,PCV3,2018,93,80349.21,2.9 (1.3-5.2),2.9,1.3,5.2,233.012709,0.5,10.4841319180509,11.1126372131399
Africa,GMB,Gambia,AFR,2020,0,both,86397,RCV1,2018,91,78621.27,,,,,,0.5,3.84139287456562,
Africa,GMB,Gambia,AFR,2020,0,both,86397,RotaC,2018,93,80349.21,1 (0.56-1.3),1,0.56,1.3,80.34921,0.5,7.40347602252361,5.42645169347165
Africa,GMB,Gambia,AFR,2020,0,both,86397,YFV,2018,91,78621.27,9 (3-19),9,3,19,707.59143,0.5,3.84139287456562,92.1008932313405
Africa,GNB,Guinea-Bissau,AFR,2020,0,both,62751,HepB3,2018,82,51455.82,0.43 (0.03-1.7),0.43,0.03,1.7,22.1260026,0.5,6.71406233902587,1.64773586263798
Africa,GNB,Guinea-Bissau,AFR,2020,0,both,62751,Hib3,2018,82,51455.82,2.7 (1.3-3.9),2.7,1.3,3.9,138.930714,0.5,6.71406233902587,10.3462484398199
Africa,GNB,Guinea-Bissau,AFR,2020,0,both,62751,MCV1,2018,79,49573.29,23 (9.5-32),23,9.5,32,1140.18567,0.5,2.42212422891127,235.368949368981
Africa,GNB,Guinea-Bissau,AFR,2020,0,both,62751,PCV3,2018,82,51455.82,2.7 (1.5-4.3),2.7,1.5,4.3,138.930714,0.5,6.71406233902587,10.3462484398199
Africa,GNB,Guinea-Bissau,AFR,2020,0,both,62751,RotaC,2018,85,53338.35,1 (0.71-1.4),1,0.71,1.4,53.33835,0.5,4.91466182811221,5.42645169347165
Africa,GNB,Guinea-Bissau,AFR,2020,0,both,62751,YFV,2018,80,50200.8,6.4 (2-13),6.4,2,13,321.28512,0.5,2.45278402927724,65.4939685200644
Africa,GNQ,Equatorial Guinea,AFR,2020,0,both,41997,HepB3,2018,46,19318.62,,,,,,0.5,2.52073368928825,
Africa,GNQ,Equatorial Guinea,AFR,2020,0,both,41997,Hib3,2018,46,19318.62,,,,,,0.5,2.52073368928825,
Africa,GNQ,Equatorial Guinea,AFR,2020,0,both,41997,MCV1,2018,39,16378.83,,,,,,0.5,0.80026080545025,
Africa,GNQ,Equatorial Guinea,AFR,2020,0,both,41997,YFV,2018,39,16378.83,,,,,,0.5,0.80026080545025,
Africa,KEN,Kenya,AFR,2020,0,both,1418463,HepB3,2018,81,1148955.03,0.03 (0-0.07),0.03,0,0.07,34.4686509,0.5,149.91804029471,0.114958315997999
Africa,KEN,Kenya,AFR,2020,0,both,1418463,Hib3,2018,81,1148955.03,1.8 (0.77-2.7),1.8,0.77,2.7,2068.119054,0.5,149.91804029471,6.89749895987993
Africa,KEN,Kenya,AFR,2020,0,both,1418463,MCV1,2018,79,1120585.77,12 (6.2-17),12,6.2,17,13447.02924,0.5,54.7512167154973,122.801190975121
Africa,KEN,Kenya,AFR,2020,1,both,1411999,MCV2,2018,45,635399.55,,,,,,0.5,31.0452795264208,
Africa,KEN,Kenya,AFR,2020,0,both,1418463,PCV3,2018,81,1148955.03,1.8 (0.9-3),1.8,0.9,3,2068.119054,0.5,149.91804029471,6.89749895987993
Africa,KEN,Kenya,AFR,2020,0,both,1418463,RCV1,2018,79,1120585.77,,,,,,0.5,54.7512167154973,
Africa,KEN,Kenya,AFR,2020,0,both,1418463,RotaC,2018,78,1106401.14,0.6 (0.41-0.82),0.6,0.41,0.82,663.840684,0.5,101.945175457018,3.25587101608299
Africa,KEN,Kenya,AFR,2020,0,both,1418463,YFV,2018,47,666677.61,0.07 (0.01-0.16),0.07,0.01,0.16,46.6674327,0.5,32.5735086788402,0.716340280688204
Africa,LBR,Liberia,AFR,2020,0,both,154171,HepB3,2018,97,149545.87,0.38 (0.04-1.5),0.38,0.04,1.5,56.8274306,0.5,19.5130559327178,1.45613866930799
Africa,LBR,Liberia,AFR,2020,0,both,154171,Hib3,2018,97,149545.87,2.7 (1-4.1),2.7,1,4.1,403.773849,0.5,19.5130559327178,10.3462484398199
Africa,LBR,Liberia,AFR,2020,0,both,154171,MCV1,2018,91,140295.61,20 (2.3-27),20,2.3,27,2805.9122,0.5,6.85476788389245,204.668651625201
Africa,LBR,Liberia,AFR,2020,0,both,154171,PCV3,2018,97,149545.87,2.4 (1.1-4.3),2.4,1.1,4.3,358.910088,0.5,19.5130559327178,9.19666527983991
Africa,LBR,Liberia,AFR,2020,0,both,154171,RotaC,2018,87,134128.77,0.92 (0.54-1.4),0.92,0.54,1.4,123.3984684,0.5,12.3587914881252,4.99233555799392
Africa,LBR,Liberia,AFR,2020,0,both,154171,YFV,2018,84,129503.64,12 (4.4-26),12,4.4,26,1554.04368,0.5,6.32747804666995,122.801190975121
Africa,LBY,Libya,EMR,2020,0,both,116486,HepB3,2018,97,112991.42,,,,,,0.5,14.7433553221979,
Africa,LBY,Libya,EMR,2020,0,both,116486,Hib3,2018,97,112991.42,,,,,,0.5,14.7433553221979,
Africa,LBY,Libya,EMR,2020,0,both,116486,MCV1,2018,97,112991.42,,,,,,0.5,5.52069987771822,
Africa,LBY,Libya,EMR,2020,1,both,121693,MCV2,2018,96,116825.28,,,,,,0.5,5.70802021083014,
Africa,LBY,Libya,EMR,2020,0,both,116486,PCV3,2018,96,111826.56,,,,,,0.5,14.5913619683608,
Africa,LBY,Libya,EMR,2020,0,both,116486,RCV1,2018,97,112991.42,,,,,,0.5,5.52069987771822,
Africa,LBY,Libya,EMR,2020,0,both,116486,RotaC,2018,97,112991.42,,,,,,0.5,10.4111698014317,
Africa,LSO,Lesotho,AFR,2020,0,both,53563,HepB3,2018,83,44457.29,0.18 (0.04-0.57),0.18,0.04,0.57,8.0023122,0.5,5.80087959892878,0.689749895987994
